country_iso3,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BEN,"2,564.60","2,526.44","2,492.36","2,365.58","2,302.52","2,325.24","2,315.01","2,198.76","2,202.74","2,078.56","2,195.70","2,212.49","2,200.05","2,248.34","2,216.51","2,274.35","2,299.23","2,358.57","2,380.51","2,411.99","2,478.22","2,532.63","2,570.79","2,579.70","2,614.21","2,581.64","2,606.82","2,685.13","2,738.19","2,724.09","2,704.70","2,707.87","2,759.85","2,876.91","2,975.85","2,945.97","2,961.44","3,044.51","3,159.36","3,283.83","3,257.79"
BTN,"1,343.09","1,486.03","1,567.15","1,644.33","1,726.87","1,752.03","1,832.77","2,128.74","2,373.93","2,459.13","2,652.82","2,787.90","2,883.71","3,027.37","3,137.25","3,345.68","3,517.82","3,655.84","3,781.16","3,938.49","4,099.58","4,259.78","4,532.50","4,867.31","5,110.02","5,354.27","5,634.98","6,282.23","6,886.11","7,196.82","7,783.44","8,447.25","8,886.37","9,092.63","9,338.28","9,738.41","10,332.50","10,851.90","11,208.40","11,639.56","11,431.73"
BOL,"6,029.03","5,585.80","5,256.07","4,940.48","4,829.75","4,651.68","4,439.28","4,455.63","4,491.51","4,566.42","4,680.41","4,826.16","4,805.31","4,871.24","4,956.93","5,087.44","5,205.62","5,357.03","5,517.51","5,435.12","5,466.67","5,456.09","5,490.27","5,538.60","5,668.52","5,816.88","5,992.21","6,160.77","6,431.64","6,539.32","6,699.71","6,936.48","7,177.46","7,421.93","7,711.95","7,964.95","8,191.72","8,406.74","8,633.84","8,696.33","7,909.48"
BIH,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,581.21","5,668.81","6,458.79","7,132.06","7,432.96","7,600.44","7,976.01","8,281.56","8,792.73","9,157.86","9,673.91","10,268.68","10,866.18","10,829.45","11,006.82","11,240.31","11,331.12","11,803.80","12,145.04","12,713.62","13,280.09","13,836.66","14,483.75","14,993.05","14,263.49"
BWA,"4,552.54","4,834.44","5,402.33","5,772.17","5,929.27","6,158.32","6,451.40","7,149.66","8,513.03","8,597.65","9,016.55","9,301.72","9,020.30","9,127.35","8,819.20","9,205.70","9,514.00","10,049.72","9,912.99","10,666.30","10,694.22","10,561.64","11,056.15","11,428.33","11,597.48","11,974.42","12,803.72","13,672.33","14,323.07","13,048.43","13,986.79","14,770.51","15,246.01","16,786.27","17,264.49","16,714.47","17,117.19","17,253.31","17,656.73","17,818.26","16,013.27"
BRA,"11,391.52","10,652.22","10,484.55","9,912.99","10,221.08","10,802.57","11,386.78","11,572.04","11,390.94","11,549.92","10,744.86","10,673.59","10,451.81","10,766.10","11,163.16","11,476.90","11,395.94","11,600.78","11,461.36","11,342.66","11,669.35","11,667.51","11,869.50","11,858.18","12,393.26","12,643.12","12,998.51","13,643.39","14,190.40","14,027.78","14,936.01","15,394.31","15,554.69","15,886.78","15,831.19","15,137.91","14,522.03","14,596.87","14,736.82","14,827.29","14,139.65"
BRN,n/a,n/a,n/a,n/a,n/a,"88,095.96","83,983.63","81,542.66","78,691.08","78,826.65","77,449.40","77,715.51","79,367.16","77,772.64","78,053.03","79,787.87","80,079.72","77,015.29","74,653.71","75,136.39","75,400.26","75,597.72","75,934.02","76,931.68","75,148.61","75,692.59","77,497.81","73,472.45","69,665.08","67,424.29","68,072.73","69,441.78","69,139.42","66,898.52","64,532.73","63,523.17","61,236.05","60,280.82","58,553.73","58,555.74","59,123.71"
BGR,"14,268.84","14,980.72","15,565.16","15,992.00","16,698.20","16,986.58","17,892.49","18,758.52","19,260.13","19,248.07","17,607.46","15,847.24","14,663.55","13,110.50","12,780.85","12,719.52","11,819.67","10,220.53","10,733.48","9,891.39","10,259.48","10,999.89","11,722.01","12,396.26","13,263.20","14,289.87","15,340.31","16,429.73","17,506.78","17,011.77","17,241.07","18,074.86","18,245.57","18,403.22","18,863.40","19,748.77","20,653.17","21,533.74","22,358.21","23,346.14","22,577.40"
BFA,981.984,984.684,974.325,938.682,929.598,"1,008.31","1,060.69","1,030.97","1,062.50","1,057.07","1,023.12","1,086.44","1,060.04","1,067.41","1,052.35","1,082.37","1,168.83","1,208.55","1,261.02","1,315.83","1,303.11","1,350.13","1,368.96","1,433.61","1,454.60","1,534.51","1,582.45","1,598.63","1,640.96","1,639.20","1,724.78","1,784.49","1,843.54","1,893.04","1,917.31","1,934.78","1,991.16","2,053.51","2,131.57","2,189.65","2,144.63"
BDI,911.284,993.03,954.59,961.871,935.937,"1,016.44","1,019.60","1,045.08","1,066.41","1,050.03","1,055.41","1,084.64","1,065.24","1,000.54",945.837,854.913,772.302,762.966,785.268,771.27,762.145,752.266,747.541,748.139,753.704,783.06,801.411,804.928,817.097,821.152,836.463,844.029,855.054,870.183,880.664,821.668,791.413,770.707,760.306,751.541,720.298
